SPCD,COMMON_NAME,SCI_NAME,SPGRPCD.E,SPGRPCD.W,MAJGRP,OCC.NC,OCC.NE,OCC.PNW,OCC.RM,OCC.SO,PFT
10,fir spp. ,Abies spp,6,12,2,X,X,-,-,X,Evergreen conifer
11,Pacific silver fir,Abies amabilis,9,12,2,-,-,X,-,-,Evergreen conifer
12,balsam fir ,Abies balsamea,6,12,2,X,X,-,-,X,Evergreen conifer
14,Santa Lucia or bristlecone fir,Abies bracteata,9,12,2,-,-,X,-,-,Evergreen conifer
15,white fir ,Abies concolor,9,12,2,X,-,X,X,X,Evergreen conifer
16,Fraser fir,Abies fraseri,9,12,2,X,X,-,-,X,Evergreen conifer
17,grand fir ,Abies grandis,9,12,2,-,-,X,X,-,Evergreen conifer
18,corkbark fir,Abies lasiocarpa var. arizonica,9,12,2,-,-,-,X,X,Evergreen conifer
19,subalpine fir,Abies lasiocarpa,9,12,2,-,-,X,X,X,Evergreen conifer
20,California red fir,Abies magnifica,9,12,2,-,-,X,X,-,Evergreen conifer
21,Shasta red fir,Abies shastensis,9,12,2,-,-,X,X,-,Evergreen conifer
22,noble fir,Abies procera,9,12,2,-,-,X,X,-,Evergreen conifer
40,white-cedar spp.,Chamaecyparis spp.,9,24,2,-,X,X,-,-,Evergreen conifer
41,Port-Orford-cedar,Chamaecyparis lawsoniana,9,24,2,-,-,X,-,-,Evergreen conifer
42,Alaska yellow-cedar,Chamaecyparis nootkatensis,9,24,2,-,-,X,-,-,Evergreen conifer
43,Atlantic white-cedar,Chamaecyparis thyoides,9,24,2,-,X,-,-,X,Evergreen conifer
50,cypress,Cupressus spp.,9,24,2,-,-,X,-,-,Evergreen conifer
51,Arizona cypress,Cupressus arizonica,9,24,2,-,-,X,X,X,Evergreen conifer
52,Baker or Modoc cypress,Cupressus bakeri,9,24,2,-,-,X,-,-,Evergreen conifer
53,Tecate cypress,Cupressus forbesii,9,24,2,-,-,X,-,-,Evergreen conifer
54,Monterey cypress,Cupressus macrocarpa,9,24,2,-,-,X,-,-,Evergreen conifer
55,Sargent's cypress,Cupressus sargentii,9,24,2,-,-,X,-,-,Evergreen conifer
56,MacNab's cypress,Cupressus macnabiana,9,24,2,-,-,X,-,-,Evergreen conifer
57,redcedar/juniper spp.,Juniperus spp.,9,23,2,X,X,-,-,X,Evergreen conifer
58,Pinchot juniper,Juniperus pinchotii,23,23,2,-,-,-,X,X,Evergreen conifer
59,redberry juniper,Juniperus coahuilensis,23,23,2,-,-,-,X,X,Evergreen conifer
60,drooping juniper,Juniperus flaccida,23,23,2,-,-,-,-,X,Evergreen conifer
61,Ashe juniper,Juniperus ashei,23,23,2,X,-,-,-,X,Evergreen conifer
62,California juniper,Juniperus californica,23,23,2,-,-,X,X,-,Evergreen conifer
63,alligator juniper,Juniperus deppeana,23,23,2,-,-,-,X,X,Evergreen conifer
64,western juniper,Juniperus occidentalis,9,24,2,-,-,X,X,-,Evergreen conifer
65,Utah juniper,Juniperus osteosperma,23,23,2,-,-,X,X,X,Evergreen conifer
66,Rocky Mountain juniper,Juniperus scopulorum,23,23,2,X,-,X,X,X,Evergreen conifer
67,southern redcedar,Juniperus virginiana var. silicicola,9,24,2,-,-,-,-,X,Evergreen conifer
68,eastern redcedar,Juniperus virginiana,9,24,2,X,X,-,X,X,Evergreen conifer
69,oneseed juniper,Juniperus monosperma,23,23,2,-,-,-,X,X,Evergreen conifer
70,larch spp.,Larix spp.,9,24,2,X,X,-,-,-,Deciduous confier
71,tamarack (native),Larix laricina,9,24,2,X,X,X,-,-,Deciduous confier
72,subalpine larch,Larix lyallii,9,24,2,-,-,X,X,-,Deciduous confier
73,western larch,Larix occidentalis,9,19,2,-,-,X,X,-,Deciduous confier
81,incense-cedar,Calocedrus decurrens,9,20,2,-,-,X,X,-,Evergreen conifer
90,spruce spp.,Picea spp.,6,18,2,X,X,-,-,X,Evergreen conifer
91,Norway spruce,Picea abies,9,18,2,X,X,-,-,X,Evergreen conifer
92,Brewer spruce,Picea breweriana,9,18,2,-,-,X,-,-,Evergreen conifer
93,Engelmann spruce,Picea engelmannii,9,18,2,X,-,X,X,X,Evergreen conifer
94,white spruce,Picea glauca,6,18,2,X,X,X,X,X,Evergreen conifer
95,black spruce,Picea mariana,6,18,2,X,X,X,-,X,Evergreen conifer
96,blue spruce,Picea pungens,9,18,2,X,X,-,X,X,Evergreen conifer
97,red spruce,Picea rubens,6,18,2,-,X,-,-,X,Evergreen conifer
98,Sitka spruce,Picea sitchensis,9,17,2,-,-,X,-,-,Evergreen conifer
100,pine spp.,Pinus spp.,9,24,1,X,X,X,-,X,Evergreen conifer
101,whitebark pine,Pinus albicaulis,9,24,1,-,-,X,X,-,Evergreen conifer
102,Rocky Mountain bristlecone pine,Pinus aristata,9,24,1,-,-,X,X,X,Evergreen conifer
103,knobcone pine,Pinus attenuata,9,24,1,-,-,X,X,-,Evergreen conifer
104,foxtail pine,Pinus balfouriana,9,24,1,-,-,X,X,-,Evergreen conifer
105,jack pine,Pinus banksiana,5,24,1,X,X,-,-,-,Evergreen conifer
106,common or two-needle pinyon,Pinus edulis,23,23,1,-,-,X,X,X,Evergreen conifer
107,sand pine,Pinus clausa,3,24,1,-,-,-,-,X,Evergreen conifer
108,lodgepole pine,Pinus contorta,9,21,1,X,-,X,X,-,Evergreen conifer
109,Coulter pine,Pinus coulteri,9,24,1,-,-,X,-,-,Evergreen conifer
110,shortleaf pine,Pinus echinata,2,24,1,X,X,-,-,X,Evergreen conifer
111,slash pine,Pinus elliottii,1,24,1,-,-,-,-,X,Evergreen conifer
112,Apache pine,Pinus engelmannii,9,24,1,-,-,-,X,-,Evergreen conifer
113,limber pine,Pinus flexilis,9,24,1,X,-,X,X,X,Evergreen conifer
114,southwestern white pine,Pinus strobiformis,9,24,1,-,-,-,X,X,Evergreen conifer
115,spruce pine,Pinus glabra,3,24,1,-,-,-,-,X,Evergreen conifer
116,Jeffrey pine,Pinus jeffreyi,9,11,1,-,-,X,X,-,Evergreen conifer
117,sugar pine,Pinus lambertiana,9,14,1,-,-,X,X,-,Evergreen conifer
118,Chihuahuan pine,Pinus leiophylla,9,24,1,-,-,-,X,X,Evergreen conifer
119,western white pine,Pinus monticola,9,15,1,-,-,X,X,-,Evergreen conifer
120,bishop pine,Pinus muricata,9,24,1,-,-,X,-,-,Evergreen conifer
121,longleaf pine,Pinus palustris,1,24,1,-,-,-,-,X,Evergreen conifer
122,ponderosa pine,Pinus ponderosa,9,11,1,X,-,X,X,X,Evergreen conifer
123,Table Mountain pine,Pinus pungens,3,24,1,-,X,-,-,X,Evergreen conifer
124,Monterey pine,Pinus radiata,9,24,1,-,-,X,-,-,Evergreen conifer
125,red pine,Pinus resinosa,4,24,1,X,X,-,-,X,Evergreen conifer
126,pitch pine,Pinus rigida,3,24,1,-,X,-,-,X,Evergreen conifer
127,gray or California foothill pine,Pinus sabiniana,9,24,1,-,-,X,-,-,Evergreen conifer
128,pond pine,Pinus serotina,3,24,1,-,X,-,-,X,Evergreen conifer
129,eastern white pine,Pinus strobus,4,24,1,X,X,-,-,X,Evergreen conifer
